Altersgruppe,Jahr,Quartal,AnzahlFall
00-04,2020,1,3
00-04,2020,2,33
00-04,2020,3,31
00-04,2020,4,567
00-04,2021,1,928
00-04,2021,2,688
00-04,2021,3,316
00-04,2021,4,3757
00-04,2022,1,16586
05-14,2020,1,15
05-14,2020,2,85
05-14,2020,3,57
05-14,2020,4,2102
05-14,2021,1,1974
05-14,2021,2,1774
05-14,2021,3,1730
05-14,2021,4,28179
05-14,2022,1,87276
15-34,2020,1,241
15-34,2020,2,604
15-34,2020,3,387
15-34,2020,4,8247
15-34,2021,1,8587
15-34,2021,2,4574
15-34,2021,3,2499
15-34,2021,4,26838
15-34,2022,1,111756
35-59,2020,1,526
35-59,2020,2,936
35-59,2020,3,340
35-59,2020,4,17308
35-59,2021,1,17701
35-59,2021,2,8461
35-59,2021,3,2452
35-59,2021,4,48689
35-59,2022,1,178003
60-79,2020,1,208
60-79,2020,2,414
60-79,2020,3,95
60-79,2020,4,7478
60-79,2021,1,8519
60-79,2021,2,3763
60-79,2021,3,552
60-79,2021,4,15466
60-79,2022,1,42204
80+,2020,1,57
80+,2020,2,302
80+,2020,3,34
80+,2020,4,5134
80+,2021,1,5576
80+,2021,2,992
80+,2021,3,233
80+,2021,4,5119
80+,2022,1,12292
unbekannt,2020,4,3
unbekannt,2021,4,111
unbekannt,2022,1,273
