Bundesland,R(t),7-Tage-Inzidenz,7-Tage-Inzidenz 60+,Vorwarnzeit
Gesamt,1,143,113,25
Baden-Württemberg,1.02,132,110,22
Bayern,0.99,180,150,17
Berlin,1.03,198,140,23
Brandenburg,1.1,102,87,32
Bremen,0.9,145,107,27
Hamburg,0.93,99,83,40
Hessen,1.02,162,125,17
Mecklenburg-Vorpommern,1.05,47,40,62
Niedersachsen,0.98,99,69,33
Nordrhein-Westfalen,0.97,158,113,26
Rheinland-Pfalz,0.98,135,114,30
Saarland,0.84,111,88,39
Sachsen,1.08,197,195,17
Sachsen-Anhalt,1.16,82,71,51
Schleswig-Holstein,0.92,47,22,73
Thüringen,1.3,136,131,27
